table,name,definition,type,allowed_values,units,missing_value_rules
yearbook_clean,E10_18_Leasing_and_Business_Services,Leasing and Business Services (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Management_of_Water_Conservancy_Environment_and_Public_Facilities,Management of Water Conservancy Environment and Public Facilities (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Manufacturing,Manufacturing (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Mining,Mining (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Production_and_Supply_of_Electricity_Heating_Gas_and_Water,Production and Supply of Electricity Heating Gas and Water (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Public_Management_Social_Security_and_Social_Organization,Public Management Social Security and Social Organization (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Real_Estate,Real Estate (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Scientific_Research_and_Technical_Services,Scientific Research and Technical Services (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Services_to_Households_Repair_and_Other_Services,Services to Households Repair and Other Services (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Total_Investment_in_Fixed_Assets,Total Investment in Fixed Assets (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Transport_Storage_and_Post,Transport Storage and Post (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Wholesale_and_Retail_Trades,Wholesale and Retail Trades (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_03_Gross_Output_Value_Animal_Husbandry,Gross Output Value Animal Husbandry (China Statistical Yearbook table E12_03),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_03_Gross_Output_Value_Farming,Gross Output Value Farming (China Statistical Yearbook table E12_03),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_03_Gross_Output_Value_Fishery,Gross Output Value Fishery (China Statistical Yearbook table E12_03),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_03_Gross_Output_Value_Forestry,Gross Output Value Forestry (China Statistical Yearbook table E12_03),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_03_Gross_Output_Value_Professional_and_Support_Activities_for_Agriculture_Forestry_Animal_Husbandry_and_Fishery,Gross Output Value Professional and Support Activities for Agriculture Forestry Animal Husbandry and Fishery (China Statistical Yearbook table E12_03),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_03_Gross_Output_Value_Total,Gross Output Value Total (China Statistical Yearbook table E12_03),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_03_Index_of_Gross_Output_Animal_Husbandry,Index of Gross Output Animal Husbandry (China Statistical Yearbook table E12_03),index,non-negative numeric; prior year = 100,preceding_year_100,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E12_03_Index_of_Gross_Output_Farming,Index of Gross Output Farming (China Statistical Yearbook table E12_03),index,non-negative numeric; prior year = 100,preceding_year_100,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
